name,description,price,categoryId,stockQuantity,images
Columbia,Columbia Mens Peakfreak X2 Outdry Shoes -Blue,10999,7,45,https://m.media-amazon.com/images/I/61JubGWyQ+L._SY675_.jpg
Fizik,Fizik Vento Infinito Carbon 2 Cycling Shoe - Men's,63203,7,30,https://m.media-amazon.com/images/I/41XQEhgxsYL._SY575_.jpg
Mephisto,Mephisto Men's Hurrikan Boat Shoe Hazelnut 11.5 D(M) US,126420,7,67,https://m.media-amazon.com/images/I/716wkuVjrnL._SY625_.jpg
Levi's,Levi's Men's 511 Slim Fit Mid Rise Jeans,1598.00,1,15,https://m.media-amazon.com/images/I/51yuevWP4+L._SX679_.jpg
Peter England,peter England's slim fit for men,1149.00,1,37,https://m.media-amazon.com/images/I/51E0mAiropL._SY741_.jpg
DSLR Camera X100,Professional DSLR camera with 24MP sensor,899.00,5,9,https://m.media-amazon.com/images/I/41Y0tSST81L._SX300_SY300_QL70_FMwebp_.jpg
Dress Shirt Slim Fit,Elegant slim fit dress shirt for formal occasions,450.00,1,45,https://m.media-amazon.com/images/I/41+kECz3BPL.jpg
Hiking Boots Elite,Durable and waterproof boots for challenging trails,1450.00,7,67,https://m.media-amazon.com/images/I/81w4zYY+V9L._AC_UL320_.jpg
Mephisto,Mephisto Men's Hurrikan Boat Shoe Hazelnut 11.5 D(M) US,126420.00,7,34,https://m.media-amazon.com/images/I/716wkuVjrnL._SY625_.jpg
Sony,Full-frame Mirrorless Interchangeable-Lens Camera with 28-70mm Lens with 3-Inch LCD,78990.00,5,56,https://m.media-amazon.com/images/I/517CEyCXIHL._AC_SX425_.jpg
Aditya's,Women's Satin Silk Bagh Printed Saree With Unstitched Blouse,1899.00,2,34,https://m.media-amazon.com/images/I/71uFEereuUL._SY741_.jpg
